# Time-averaged data for fix gr
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
500 200
122 1.51875 0.198894 6.20408
123 1.53125 0.273632 6.23918
124 1.54375 0.410281 6.29224
125 1.55625 0.394463 6.34367
126 1.56875 0.39132 6.3951
127 1.58125 0.499149 6.46122
128 1.59375 0.593058 6.54041
129 1.60625 0.655173 6.62857
130 1.61875 0.752446 6.73061
131 1.63125 0.770574 6.83592
132 1.64375 0.918843 6.96245
133 1.65625 1.05899 7.10939
134 1.66875 0.980987 7.24653
135 1.68125 1.26348 7.42449
136 1.69375 1.30018 7.60898
137 1.70625 1.33634 7.8
138 1.71875 1.28694 7.98531
139 1.73125 1.65475 8.22531
140 1.74375 1.4529 8.43755
141 1.75625 1.609 8.67429
142 1.76875 1.49847 8.89633
143 1.78125 1.63018 9.13959
144 1.79375 1.5482 9.37224
145 1.80625 1.61302 9.61633
146 1.81875 1.37691 9.82612
147 1.83125 1.66549 10.0816
148 1.84375 1.50622 10.3143
149 1.85625 1.63256 10.5682
150 1.86875 1.65814 10.8278
151 1.88125 1.49691 11.0637
152 1.89375 1.68256 11.3306
153 1.90625 1.84532 11.6253
154 1.91875 1.7876 11.9127
155 1.93125 1.76089 12.1976
156 1.94375 1.88492 12.5045
157 1.95625 1.68858 12.7812
158 1.96875 1.83624 13.0841
159 1.98125 1.9181 13.4024
160 1.99375 1.61772 13.6727
161 2.00625 1.58821 13.9396
162 2.01875 1.39978 14.1763
163 2.03125 1.46313 14.4253
164 2.04375 1.49232 14.6808
165 2.05625 1.36478 14.9159
166 2.06875 1.29059 15.1396
167 2.08125 1.12834 15.3363
168 2.09375 1.1216 15.5331
169 2.10625 1.01779 15.7127
170 2.11875 1.02098 15.8939
171 2.13125 0.790965 16.0351
172 2.14375 0.745444 16.169
173 2.15625 0.691413 16.2939
174 2.16875 0.745837 16.4294
175 2.18125 0.692423 16.5559
176 2.19375 0.564108 16.6596
177 2.20625 0.635994 16.7771
178 2.21875 0.566535 16.8824
179 2.23125 0.467284 16.9698
180 2.24375 0.564565 17.0759
181 2.25625 0.401644 17.1518
182 2.26875 0.382251 17.2245
183 2.28125 0.538199 17.3273
184 2.29375 0.420566 17.4082
185 2.30625 0.414062 17.4882
186 2.31875 0.386615 17.5633
187 2.33125 0.468139 17.6547
188 2.34375 0.390807 17.7314
189 2.35625 0.430088 17.8163
190 2.36875 0.444273 17.9045
191 2.38125 0.429665 17.9902
192 2.39375 0.455916 18.0816
193 2.40625 0.413052 18.1649
194 2.41875 0.475375 18.2612
195 2.43125 0.521026 18.3673
196 2.44375 0.570197 18.4841
197 2.45625 0.602999 18.6082
198 2.46875 0.603892 18.7331
199 2.48125 0.663684 18.871
200 2.49375 0.847915 19.0482
2000 200
1 0.00625 0 0
2 0.01875 0 0
3 0.03125 0 0
4 0.04375 0 0
5 0.05625 0 0
6 0.06875 0 0
